id,text,Authors,Researcher Ids,ORCIDs,title,Volume,Issue,DOI,Document Type,Publication Date,Abstract,ISSN,eISSN,ISBN,Pages,Publisher,Proceedings title,Keywords,label,Comments
7218,"Title:Complex safety study of intelligent multi-robot navigation in risk's environment

 The issue investigated in this paper concerns navigation, survey / control and the complexity associated with a mobile multi-robot coordination and cooperation in a complex environment (robotic analysis laboratory), which is little or no known with significant industrial risks, in the presence of human and machines. This group of mobile robots is mainly used to move chemical products, which can lead dangerous accidents (toxic, flammable, explosive ...) between the different rooms of the laboratory. The objective of our study is to ensure a good precision in the robots navigation in order to optimize human efforts, reduced error and establishment safety while keeping an eye on robots with good functioning and a desired production. In the literature there are several risk analysis techniques. Among the most used techniques in robotics, the FMEA method (failure modes, effects and criticality analysis). We applied the FMEA method on one robot. Then, the FTA (Fault Tree Analysis) method was chosen to generalize dependability study on all robots. Finally, to manage this level of complexity, a control architecture based on controllers' decomposition into a set of elementary behaviors / controllers (obstacles avoidance and collision between robots, attraction to a target, planning ...) was proposed.","Bensaci, Chaima, Zennir, Youcef, Pomorski, Denis, Mechhoud, El-Arkam",,,Complex safety study of intelligent multi-robot navigation in risk's environment,,,10.1109/CCST.2017.8167809 , ,2017,"The issue investigated in this paper concerns navigation, survey / control and the complexity associated with a mobile multi-robot coordination and cooperation in a complex environment (robotic analysis laboratory), which is little or no known with significant industrial risks, in the presence of human and machines. This group of mobile robots is mainly used to move chemical products, which can lead dangerous accidents (toxic, flammable, explosive ...) between the different rooms of the laboratory. The objective of our study is to ensure a good precision in the robots navigation in order to optimize human efforts, reduced error and establishment safety while keeping an eye on robots with good functioning and a desired production. In the literature there are several risk analysis techniques. Among the most used techniques in robotics, the FMEA method (failure modes, effects and criticality analysis). We applied the FMEA method on one robot. Then, the FTA (Fault Tree Analysis) method was chosen to generalize dependability study on all robots. Finally, to manage this level of complexity, a control architecture based on controllers' decomposition into a set of elementary behaviors / controllers (obstacles avoidance and collision between robots, attraction to a target, planning ...) was proposed.",,,,, ,  2017 International Carnahan Conference on Security Technology (ICCST),,out_of_scope,
7219,"Title:The Problems, Language and Scientific Basis of Flammability Testing

 Flammability tests are intended to provide a measure of the fire hazard of a material or product. The gross factors involved are the ease of ignition, the rapidity of combustion development, the severity of conditions produced by the combustion (heat, smoke and toxic gas loads), and the performance of a product under a fire load. Most flammability tests have been developed by practical people under external pressures (legal or corporate) to produce a believable, reproducible test requiring a minimum of effort, equipment, and manpower. The scientific understanding of the tests is a luxury usually denied the designers. The resulting tests each measure some aspect of flammability, usually reproducible and well. However, because of thtlack of basic understanding, related tests measure different aspects of flammability and correlate poorly. There is a need for increased effort in understanding tests scientifically to aid in correlating and interpreting the results. A side result of this situation is that a jargon has developed which often obscures the usage and basis of the tests. This paper will document the chaotic state of flammability testing, define some of the specialized terms, and close with some suggestions for the scientific interpretation of some aspects of wire and cable testing as an example of the approach which the author feels would increase understanding in this field.","Fristrom, R. M.",,,"The Problems, Language and Scientific Basis of Flammability Testing",,,10.1109/TEI.1978.298144 , ,1978,"Flammability tests are intended to provide a measure of the fire hazard of a material or product. The gross factors involved are the ease of ignition, the rapidity of combustion development, the severity of conditions produced by the combustion (heat, smoke and toxic gas loads), and the performance of a product under a fire load. Most flammability tests have been developed by practical people under external pressures (legal or corporate) to produce a believable, reproducible test requiring a minimum of effort, equipment, and manpower. The scientific understanding of the tests is a luxury usually denied the designers. The resulting tests each measure some aspect of flammability, usually reproducible and well. However, because of thtlack of basic understanding, related tests measure different aspects of flammability and correlate poorly. There is a need for increased effort in understanding tests scientifically to aid in correlating and interpreting the results. A side result of this situation is that a jargon has developed which often obscures the usage and basis of the tests. This paper will document the chaotic state of flammability testing, define some of the specialized terms, and close with some suggestions for the scientific interpretation of some aspects of wire and cable testing as an example of the approach which the author feels would increase understanding in this field.",,,,, ,  ,,out_of_scope,
7220,"Title:A Framework to Detect Twitter Platform Manipulation and Computational Propaganda

 Manipulating public opinion using social media has become a pressing issue in this decade. Evidence of using organized social media manipulation campaigns have been taken place in 48 countries in 2018 alone and in each country, at least one government agency or a political party has been involved [1]. This is a massive threat to democracy and there's nothing new in governments carrying out propaganda, but using toxic messaging on a global scale and using new tools for amplifying while leveraging psychological methodologies is new. Facebook is being used heavily for such activities and other platforms like Twitter has been marked as a good option to spread misinformation and spam. The respective researchers say that some of these scenarios were taken place in countries which are new to social media and have been experimenting with computational propaganda and information control. It is impossible to rely on users to report such content and flag them as misleading, they would help the spreading of such information. This paper proposes novel methodology to detect such scenarios using machine learning and natural language processing techniques by predicting the credibility of the user profile and the credibility of the content. It uses existing research as foundation and builds new perspectives to look at the problem.","Wickramarathna, Nishan Chathuranga, Jayasiriwardena, Thiruni D., Wijesekara, Malith, Munasinghe, Pasindu Bawantha, Ganegoda, Gamage Upeksha",,,A Framework to Detect Twitter Platform Manipulation and Computational Propaganda,,,10.1109/ICTer51097.2020.9325499 , ,2020,"Manipulating public opinion using social media has become a pressing issue in this decade. Evidence of using organized social media manipulation campaigns have been taken place in 48 countries in 2018 alone and in each country, at least one government agency or a political party has been involved [1]. This is a massive threat to democracy and there's nothing new in governments carrying out propaganda, but using toxic messaging on a global scale and using new tools for amplifying while leveraging psychological methodologies is new. Facebook is being used heavily for such activities and other platforms like Twitter has been marked as a good option to spread misinformation and spam. The respective researchers say that some of these scenarios were taken place in countries which are new to social media and have been experimenting with computational propaganda and information control. It is impossible to rely on users to report such content and flag them as misleading, they would help the spreading of such information. This paper proposes novel methodology to detect such scenarios using machine learning and natural language processing techniques by predicting the credibility of the user profile and the credibility of the content. It uses existing research as foundation and builds new perspectives to look at the problem.",,,,, ,  2020 20th International Conference on Advances in ICT for Emerging Regions (ICTer),,out_but_toxicity,
7221,"Title:NL-based communication with firefighting robots

 Firefighters put themselves in harm's way while saving others and may even lose their lives in certain situations, such as toxic fumes, extreme heat, or inhaling smoke. In order to protect firefighters from the risks and, at the same time, to save others' lives, firefighting and firefighter assistant robots have been developed. This paper will compare different firefighting and firefighter assistant robots and their functionalities. The main thrust of the paper, however, is to discuss the transition from tele-operated robots first to voice-operated and, eventually, to fully autonomous ones, which is where robotic intelligence resides. We will introduce HARMS, the human-agent-robot-machine-sensor collaborative effort, and explain why using natural language as the basis of their communication is not only optimal but also feasible and affordable with the Ontological Semantic Technology.","Hong, Ji Hyeon, Min, Byung-Cheol, Taylor, Julia M., Raskin, Victor, Matson, Eric T.",,,NL-based communication with firefighting robots,,,10.1109/ICSMC.2012.6377941 , ,2012,"Firefighters put themselves in harm's way while saving others and may even lose their lives in certain situations, such as toxic fumes, extreme heat, or inhaling smoke. In order to protect firefighters from the risks and, at the same time, to save others' lives, firefighting and firefighter assistant robots have been developed. This paper will compare different firefighting and firefighter assistant robots and their functionalities. The main thrust of the paper, however, is to discuss the transition from tele-operated robots first to voice-operated and, eventually, to fully autonomous ones, which is where robotic intelligence resides. We will introduce HARMS, the human-agent-robot-machine-sensor collaborative effort, and explain why using natural language as the basis of their communication is not only optimal but also feasible and affordable with the Ontological Semantic Technology.",,,,, ,"  2012 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",,out_of_scope,
7222,"Title:Antihyperlipidemia Activity of Sygyzium Polyanthum Ethanol Extract on Benzene Induced Rats

 Hyperlipidemia is a significant risk factor for cardiovascular events, especially included cerebrovascular, coronary, and peripheral artery disease. Meanwhile, benzene is toxic at 500 parts per million and lethal at 20,000 parts per million for 5 to 10 minutes. Additionally, oral dosages ranging from 9 to 30 grams have been shown to be hazardous. Syzygium polyanthum also known as Syzygium polyanthum, is a Myrtaceae plant that is utilized in traditional medicine, due to its strong antioxidant activity. The objective of this research is to examine the antihyperlipidemia effect of Syzygium polyanthum ethanol extract on rats exposed to benzene. The result found that extract dropped cholesterol, triglyceride, and LDL levels and enhanced HDL levels at dosages of 400, 600, and 800 mg/kg BW, which were substantially different with p lower than 0.05 in the benzene induced group. Interestingly, the extract enhanced SOD levels and lowered MDA levels. According to the findings, Syzygium polyanthum ethanol extract has a significant level of antioxidant activity, which helps inhibit the radicalization process.","Tondy, Tondy, Ehrich Lister, I Nyoman, Napiah Nasution, Ali, Lie, Sukirman",,,Antihyperlipidemia Activity of Sygyzium Polyanthum Ethanol Extract on Benzene Induced Rats,,,10.1109/InHeNce52833.2021.9537288 , ,2021,"Hyperlipidemia is a significant risk factor for cardiovascular events, especially included cerebrovascular, coronary, and peripheral artery disease. Meanwhile, benzene is toxic at 500 parts per million and lethal at 20,000 parts per million for 5 to 10 minutes. Additionally, oral dosages ranging from 9 to 30 grams have been shown to be hazardous. Syzygium polyanthum also known as Syzygium polyanthum, is a Myrtaceae plant that is utilized in traditional medicine, due to its strong antioxidant activity. The objective of this research is to examine the antihyperlipidemia effect of Syzygium polyanthum ethanol extract on rats exposed to benzene. The result found that extract dropped cholesterol, triglyceride, and LDL levels and enhanced HDL levels at dosages of 400, 600, and 800 mg/kg BW, which were substantially different with p lower than 0.05 in the benzene induced group. Interestingly, the extract enhanced SOD levels and lowered MDA levels. According to the findings, Syzygium polyanthum ethanol extract has a significant level of antioxidant activity, which helps inhibit the radicalization process.",,,,, ,"  2021 IEEE International Conference on Health, Instrumentation & Measurement, and Natural Sciences (InHeNce)",,out_of_scope,
7223,"Title:The network nodes design of gas wireless sensor monitor

 This article describes the toxic, flammable software and hardware design methods of gases wireless monitoring network nodes based on sensor array. By collecting signals with gases sensors and receiving and emitting data with wireless sensors network, we can measure the gas concentrations. We describe the toxic and flammable gas concentration measuring circuit and illustrate the theory. We choose the Atmega128 processor to fulfill the hardware design of wireless sensor network nodes, at the same time we select C language to accomplish ZigBee protocol. This system is suitable for detecting of the toxic or flammable gas, and it is easy to integrate with following equipment and controlled. It is beneficial to protect our life and property.","Wang, Li-zhong, Zhang, Gang, Liu, Hong-bo, Hang, Tao",,,The network nodes design of gas wireless sensor monitor,,,10.1109/MACE.2011.5987304 , ,2011,"This article describes the toxic, flammable software and hardware design methods of gases wireless monitoring network nodes based on sensor array. By collecting signals with gases sensors and receiving and emitting data with wireless sensors network, we can measure the gas concentrations. We describe the toxic and flammable gas concentration measuring circuit and illustrate the theory. We choose the Atmega128 processor to fulfill the hardware design of wireless sensor network nodes, at the same time we select C language to accomplish ZigBee protocol. This system is suitable for detecting of the toxic or flammable gas, and it is easy to integrate with following equipment and controlled. It is beneficial to protect our life and property.",,,,, ,  2011 Second International Conference on Mechanic Automation and Control Engineering,,out_of_scope,
7224,"Title:Developing a Smart Semantic Web With Linked Data and Models for Near-Real-Time Monitoring of Red Tides in the Eastern Gulf of Mexico

 In recent decades, the technology used to detect and quantify harmful algal blooms (commonly known as red tides) and characterize their physicochemical environment has improved considerably. A remaining challenge is effective delivery of the information generated from these advances in a user-friendly way to a diverse group of stakeholders. Based on existing infrastructure, we establish a Web-based system for near-real-time tracking of red tides caused by the toxic dinoflagellate Karenia brevis, which annually threatens human and environmental health in the eastern Gulf of Mexico. The system integrates different data products through a custom-made Web interface. Specifically, three types of data products are fused: 1) near-real-time ocean color imagery tailored for red tide monitoring; 2) K. brevis cell abundance determined by sample analysis; and 3) ocean currents from a nested and validated numerical model. These products are integrated and made available to users in Keyhole Markup Language (KML) format, which can be navigated, interpreted, and overlaid with other products in Google Earth. This integration provides users with the current status of red tide occurrence (e.g., location, severity, and spatial extent) while presenting a simple way to estimate bloom trajectory, thus delivering an effective method for near-real-time tracking of red tides.","Hu, Chuanmin, Murch, Brock, Corcoran, Alina A., Zheng, Lianyuan, Barnes, Brian B., Weisberg, Robert H., Atwood, Karen, Lenes, Jason M.",,,Developing a Smart Semantic Web With Linked Data and Models for Near-Real-Time Monitoring of Red Tides in the Eastern Gulf of Mexico,,,10.1109/JSYST.2015.2440782 , ,2016,"In recent decades, the technology used to detect and quantify harmful algal blooms (commonly known as red tides) and characterize their physicochemical environment has improved considerably. A remaining challenge is effective delivery of the information generated from these advances in a user-friendly way to a diverse group of stakeholders. Based on existing infrastructure, we establish a Web-based system for near-real-time tracking of red tides caused by the toxic dinoflagellate Karenia brevis, which annually threatens human and environmental health in the eastern Gulf of Mexico. The system integrates different data products through a custom-made Web interface. Specifically, three types of data products are fused: 1) near-real-time ocean color imagery tailored for red tide monitoring; 2) K. brevis cell abundance determined by sample analysis; and 3) ocean currents from a nested and validated numerical model. These products are integrated and made available to users in Keyhole Markup Language (KML) format, which can be navigated, interpreted, and overlaid with other products in Google Earth. This integration provides users with the current status of red tide occurrence (e.g., location, severity, and spatial extent) while presenting a simple way to estimate bloom trajectory, thus delivering an effective method for near-real-time tracking of red tides.",,,,, ,  ,,out_of_scope,
7225,"Title:Performance Analysis of Comment Toxicity Detection Using Machine Learning

 Deep learning is a potent method for locating and classifying harmful comments on social media and in online forums. Based on their text, comments are to be categorized as hazardous or non-toxic. Because they can manage enormous volumes of text input and comprehend the links between words and sentences, recurrent neural networks (RNNs) as well as convolutional neural networks (CNNs) are frequently used. The text data is transformed into numerical representations that retain the meaning of the words and phrases, such as word embeddings or sentence embeddings. These representations are then fed into a deep learning model that has been trained to distinguish between toxic and non-toxic comments using a labeled dataset of comments. The model modifies its parameters based on the discrepancy between its predictions and the actual labels during training. After training is finished, a different dataset is used to test the model's performance in identifying harmful remarks. It has been demonstrated that deep learning outperforms conventional machine learning methods in this job. However, given their potential to significantly affect the model's performance, elements including the caliber of the training data, the model architecture, and the selection of hyperparameters must be carefully taken into account.","Suresh, Shruti, Yadav, Bishwajit, Kumari, Srishti, Choudhary, Aakriti, Krishika, Rathod, R, Mahesh T",,,Performance Analysis of Comment Toxicity Detection Using Machine Learning,,,10.1109/CSET58993.2023.10346832 , ,2023,"Deep learning is a potent method for locating and classifying harmful comments on social media and in online forums. Based on their text, comments are to be categorized as hazardous or non-toxic. Because they can manage enormous volumes of text input and comprehend the links between words and sentences, recurrent neural networks (RNNs) as well as convolutional neural networks (CNNs) are frequently used. The text data is transformed into numerical representations that retain the meaning of the words and phrases, such as word embeddings or sentence embeddings. These representations are then fed into a deep learning model that has been trained to distinguish between toxic and non-toxic comments using a labeled dataset of comments. The model modifies its parameters based on the discrepancy between its predictions and the actual labels during training. After training is finished, a different dataset is used to test the model's performance in identifying harmful remarks. It has been demonstrated that deep learning outperforms conventional machine learning methods in this job. However, given their potential to significantly affect the model's performance, elements including the caliber of the training data, the model architecture, and the selection of hyperparameters must be carefully taken into account.",,,,, ,  2023 International Conference on Computer Science and Emerging Technologies (CSET),,detection,
7226,"Title:Development of the first autonomous, in-situ microcystin immunoassay for the inaugural freshwater deployment on the Environmental Sampler Processor

 Here we present achievements and challenges associated with the inaugural freshwater deployment of the Environmental Sampler Processor (ESP) in the western Lake Erie. We discuss scientific advances in the detection methodology related to utilizing the ESP for monitoring toxic cHABs and establishing the ability to provide water resource managers with early warning of impending toxicity.","Ritzenthaler, Alicia, Mikulski, Christina, Marin, Roman, Roman, Brent, Mickett, John, Siani, Chris, Doucette, Greg, Davis, Timothy W.",,,"Development of the first autonomous, in-situ microcystin immunoassay for the inaugural freshwater deployment on the Environmental Sampler Processor",,,10.1109/OCEANS.2016.7761003 , ,2016,Here we present achievements and challenges associated with the inaugural freshwater deployment of the Environmental Sampler Processor (ESP) in the western Lake Erie. We discuss scientific advances in the detection methodology related to utilizing the ESP for monitoring toxic cHABs and establishing the ability to provide water resource managers with early warning of impending toxicity.,,,,, ,  OCEANS 2016 MTS/IEEE Monterey,,out_of_scope,
7227,"Title:Toxicity Detection in Water Based on Polycyclic Aromatic Hydrocarbons Using Machine Learning Algorithms

 Polycyclic aromatic hydrocarbons (PAHs) are natural compounds having aromatic ring structures with carbon and hydrogen atoms. PAH can be found in our ecosystem such as air, water, soil, marine and in various food products. Excess presence of PAH is toxic to the environment and leads to carcinogenic effects on the organisms. Further, the presence of PAHs has been observed in aquatic systems which is the result of influent and effluent from wastewater treatment plants, seawater, surface water and ground water. Due to their high affinity and low solubility properties for particulates, PAH concentrations are less in water. However, the toxic nature of the water can be identified based on the concentration limit set by European standards and expert knowledge. Therefore, in this research it is proposed to detect the presence of toxicity in the water based on the PAHs. There are multiple methods to measure the PAH level like Gas chromatography /Mass Spectrometry (GC/MS) and High-Performance Liquid Chromatography (HPLC), but the detection of toxicity is through experimental analysis or expert knowledge. In this consideration, an investigative study has been conducted on the PAHs and the extracted feature sets were formed to evaluate through nonlinear machine learning algorithms such as Artificial Neural Networks. The experimental analysis has been validated through statistical measures and the results show the classification of toxicity in PAHs is promising.","Vasantha, Kavitha, Texina, Staphney, Renganathan, Alagammai, Natraj, Sathees Kumar",,,Toxicity Detection in Water Based on Polycyclic Aromatic Hydrocarbons Using Machine Learning Algorithms,,,10.1109/ICETAS59148.2023.10346267 , ,2023,"Polycyclic aromatic hydrocarbons (PAHs) are natural compounds having aromatic ring structures with carbon and hydrogen atoms. PAH can be found in our ecosystem such as air, water, soil, marine and in various food products. Excess presence of PAH is toxic to the environment and leads to carcinogenic effects on the organisms. Further, the presence of PAHs has been observed in aquatic systems which is the result of influent and effluent from wastewater treatment plants, seawater, surface water and ground water. Due to their high affinity and low solubility properties for particulates, PAH concentrations are less in water. However, the toxic nature of the water can be identified based on the concentration limit set by European standards and expert knowledge. Therefore, in this research it is proposed to detect the presence of toxicity in the water based on the PAHs. There are multiple methods to measure the PAH level like Gas chromatography /Mass Spectrometry (GC/MS) and High-Performance Liquid Chromatography (HPLC), but the detection of toxicity is through experimental analysis or expert knowledge. In this consideration, an investigative study has been conducted on the PAHs and the extracted feature sets were formed to evaluate through nonlinear machine learning algorithms such as Artificial Neural Networks. The experimental analysis has been validated through statistical measures and the results show the classification of toxicity in PAHs is promising.",,,,, ,  2023 IEEE 8th International Conference on Engineering Technologies and Applied Sciences (ICETAS),,out_of_scope,
